time,activity,appCat.builtin,call,circumplex.arousal,circumplex.valence,mood,screen,sms
2014-03-31,0.024151166629980184,14.357684210526312,0.0,0.0,0.0,6.5,77.93487498164173,0.0
2014-04-01,0.12660997993345266,11.87914873417722,1.0,0.0,0.0,7.5,48.586124289507254,0.0
2014-04-02,0.0432156771266439,8.310698924731183,1.0,-0.2,0.4,6.8,80.32006757323809,0.0
2014-04-03,0.15111305136626185,24.09429602888085,0.0,0.0,1.25,8.0,59.904581708845775,0.0
2014-04-04,0.12490594575684993,12.32046808510638,1.0,-0.5,0.0,5.75,89.93703268867692,0.0
2014-04-05,0.027859790738960884,10.071645631067959,0.0,-0.8,0.8,7.6,72.09506361918014,0.0
2014-04-06,0.012253036714243609,6.715893939393938,0.0,-0.6,0.6,7.2,90.0297424179135,0.0
2014-04-07,0.1116669789967582,47.5370255319149,0.0,0.2,1.25,8.0,96.33974790973825,0.0
2014-04-08,0.09885041974956743,19.804272413793097,0.0,-0.2,1.0,7.8,41.15298884407768,0.0
2014-04-09,0.24384687059123447,8.275174454828662,0.0,-1.0,1.0,7.0,75.16396318184083,1.0
2014-04-10,0.22384842747091244,15.448815573770505,0.0,-1.0,0.5,7.0,58.80615106761028,0.0
2014-04-11,0.3332305813491699,10.765821637426912,1.0,-0.6,0.0,7.4,105.37811249494548,1.0
2014-04-12,0.03719255598302549,9.743649350649356,0.0,-0.75,1.25,7.8,63.79651111629276,0.0
2014-04-13,0.04242497739525186,9.084804020100503,1.0,-0.6,0.75,7.2,107.23797803920706,0.0
2014-04-14,0.10611959993778808,20.154315384615405,0.0,-1.0,0.5,6.8,70.20420001091493,1.0
2014-04-15,0.11725857496542645,13.217070038910514,0.0,-0.2,0.4,6.8,67.92141379487923,0.0
2014-04-16,0.03589232647840624,19.5348272251309,0.0,0.6,-0.4,6.2,93.26824769842517,0.0
2014-04-17,0.10793741525463706,8.485712727272727,1.0,-0.5,0.75,7.8,75.32455554841053,0.0
2014-04-18,0.03475107975080799,10.73738983050847,0.0,-0.2,0.0,5.8,68.61900652156157,0.0
2014-04-19,0.020545114412761075,7.566317829457363,1.0,-0.5,0.3333333333333333,6.75,67.77405434328577,0.0
2014-04-20,0.03128380739640309,7.02347863247863,0.0,-0.4,1.0,7.8,64.3065930355427,0.0
2014-04-21,0.07565666982961561,7.309746575342466,0.0,-0.25,1.0,8.0,65.29251352194191,0.0
2014-04-22,0.15725290411542997,32.22759274193547,0.0,-0.75,1.0,7.25,119.03826514337996,0.0
2014-04-23,0.0951148533806444,19.961717391304344,0.0,0.3333333333333333,1.0,7.0,74.48685599899292,1.0
2014-04-24,0.11913178112779042,13.2568669527897,0.0,-0.2,1.2,8.0,61.13457297763309,0.0
2014-04-25,0.13038495753560778,16.6777891891892,0.0,-0.2,1.0,7.0,43.802524748415024,0.0
2014-04-26,0.0330103700922375,6.71840517241379,0.0,0.0,1.0,8.0,73.47230356931685,0.0
2014-04-27,0.053142000214668944,5.75177380952381,0.0,0.25,0.5,7.25,184.1371052610247,0.0
2014-04-28,0.09235672736208862,24.874106060606056,0.0,-0.5,1.0,7.5,64.23769999742515,0.0
2014-04-30,0.030598256251653227,5.742027027027026,0.0,-0.2,0.2,6.2,91.346533314387,0.0
2014-05-01,0.057490928556129715,26.075329268292663,0.0,-0.6,0.4,6.4,64.53758014431438,1.0
2014-05-02,0.08226363403733761,14.701601503759397,1.0,-0.5,1.0,6.8,67.80846154322988,0.0
2014-05-03,0.054198748079751564,12.093985347985354,1.0,0.0,1.0,7.4,55.79395804205143,0.0
2014-05-04,0.029219101387488376,12.567329787234048,0.0,-0.4,0.6666666666666666,6.8,79.37857546221537,0.0
2014-05-05,0.06396706485711144,6.685010256410255,0.0,0.5,1.0,7.0,59.21115237644742,0.0
2014-05-07,0.027966857841785986,11.406242152466366,1.0,0.0,-0.25,6.333333333333333,65.0410566037556,0.0
2014-05-08,0.03576887078168944,26.763886597938157,0.0,0.0,0.5,6.5,52.34476471414755,0.0
