time,activity,appCat.builtin,call,circumplex.arousal,circumplex.valence,mood,screen,sms
2014-03-13,0.2510413289318142,7.169666666666667,1.0,-2.0,1.0,7.0,83.48246666590373,0.0
2014-03-14,0.2510413289318142,19.14224468085106,0.0,0.2,1.4,7.8,42.396488382372745,1.0
2014-03-15,0.2510413289318142,46.43313636363636,0.0,0.2,0.4,7.0,37.98886064427799,1.0
2014-03-16,0.2510413289318142,10.722999999999999,0.0,-1.0,0.2,6.4,83.40515252695242,0.0
2014-03-17,0.2510413289318142,14.466619718309861,0.0,0.0,0.8,6.6,32.11036733461885,0.0
2014-03-18,0.2510413289318142,11.592708333333334,0.0,-0.2,0.8,7.0,29.241638282512103,0.0
2014-03-19,0.2510413289318142,27.25448275862069,0.0,-0.2,1.2,7.8,118.47190624289223,0.0
2014-03-20,0.2875173962358836,12.843555555555554,0.0,0.8,0.2,6.4,47.598922646506715,0.0
2014-03-21,0.08464871219157337,11.086615384615385,0.0,0.6,0.6,6.4,91.04577463445531,1.0
2014-03-22,0.09397349961866085,21.525976744186046,0.0,1.4,1.6,8.4,76.09973456682981,0.0
2014-03-23,0.11916263386851622,25.83873333333333,0.0,1.6,1.0,7.4,62.16453333582195,1.0
2014-03-24,0.3074129857071034,14.831391304347823,1.0,1.0,1.8,8.8,52.09096667236752,0.0
2014-03-25,0.09856848536516054,16.88514285714286,0.0,1.2,1.8,7.6,48.805320383275586,0.0
2014-03-26,0.30365512425991403,9.362869565217391,1.0,-1.0,1.0,8.4,58.48340644990244,1.0
2014-03-27,0.10809412957208692,8.8625,0.0,-1.2,1.0,7.4,75.79649556632587,1.0
2014-03-28,0.3355837397178655,16.081657142857146,0.0,-1.0,1.2,7.6,75.93969999849796,0.0
2014-03-29,0.37008537798408486,8.334791666666664,0.0,-1.8,1.0,7.2,60.407698938923495,0.0
2014-03-30,0.11063152039471912,9.100666666666667,0.0,-0.6,0.8,6.2,73.23049230392162,0.0
2014-03-31,0.2922268907563025,12.932404761904767,1.0,-1.2,0.6,7.0,38.422619703789834,0.0
2014-04-01,0.43874834656084655,32.81654081632652,1.0,-1.5,1.0,7.5,43.5714883748875,1.0
2014-04-02,0.37120794503799426,13.464689655172412,0.0,-1.2,1.0,7.4,41.231565009318125,0.0
2014-04-03,0.30396614520281895,19.114814814814803,1.0,-0.8,1.4,7.6,54.19191428252628,1.0
2014-04-04,0.19674225941227172,15.058983606557373,0.0,-0.6,1.0,7.8,50.317475020885446,1.0
2014-04-05,0.15646127217935726,30.605999999999998,0.0,0.2,0.8,6.8,80.37630322364068,0.0
2014-04-06,0.32032102320237915,44.4361875,0.0,0.25,0.75,6.25,69.3798999885718,0.0
2014-04-07,0.30800465676571875,16.997,1.0,-0.4,1.0,7.4,86.32668292037846,1.0
2014-04-08,0.12433551478229142,30.95073529411765,1.0,0.8,1.4,8.2,55.23874469259951,0.0
2014-04-09,0.19026514823987345,23.034100000000002,1.0,-0.2,1.2,7.8,67.76260950905936,0.0
2014-04-10,0.3092114046758542,12.965772727272725,1.0,0.6,1.0,7.6,69.72818896901887,0.0
2014-04-11,0.46870776282540977,14.897827586206894,1.0,0.6,1.2,6.8,25.295571422576906,0.0
2014-04-12,0.09549919484702095,12.681548387096772,1.0,0.6,1.0,6.8,69.94878899723012,1.0
2014-04-13,0.1513406794183811,12.188249999999998,0.0,0.2,0.8,6.6,54.708953329722114,1.0
2014-04-14,0.26101854320329393,12.985,0.0,-0.6,1.0,6.8,30.698981363580838,0.0
2014-04-15,0.36993455507009726,28.092454545454554,1.0,-0.8,0.2,6.0,43.39099495579496,1.0
2014-04-16,0.33828282828282824,12.91970454545455,1.0,-0.25,0.75,6.0,31.6325721568668,0.0
2014-04-17,0.04141105260380633,22.13007692307692,1.0,-1.2,1.0,6.4,125.19711829000907,1.0
2014-04-18,0.1181818181818182,10.014199999999999,0.0,-1.0,-1.0,3.5,26.78689474808542,0.0
2014-04-19,0.24085059179676507,49.359366666666666,1.0,-0.6,1.0,7.2,67.25035075287319,0.0
2014-04-20,0.2621848739495798,4.4247499999999995,0.0,-1.6,0.6,6.6,34.70958334491366,0.0
2014-04-21,0.15710176822377517,10.912875000000001,0.0,-1.4,1.0,7.4,95.93214953279937,0.0
2014-04-22,0.2710352653846367,30.182705882352938,0.0,-1.25,0.75,5.75,52.42675000599454,1.0
2014-04-23,0.4385733488177098,9.490836363636362,1.0,-0.8,1.0,7.4,24.214648149631643,1.0
2014-04-24,0.4378101065601063,14.144365853658533,1.0,1.0,1.0,7.666666666666667,154.63439327679325,0.0
2014-04-25,0.44056884395745244,22.712324999999993,0.0,-0.25,1.25,7.75,59.48043157175966,0.0
2014-04-26,0.169494766505636,7.907000000000001,0.0,-1.8,1.6,8.8,80.21029347181319,0.0
2014-04-27,0.2649346728151076,48.224875,0.0,-0.5,1.5,8.0,93.20017006283712,0.0
2014-04-28,0.29876844002231007,37.31084615384616,0.0,-1.6666666666666667,1.0,8.166666666666666,94.86106024018251,0.0
2014-04-29,0.325002877061394,25.082249999999995,0.0,-1.25,1.25,8.5,56.07115384915491,0.0
2014-04-30,0.29367141217445164,11.887624999999998,0.0,-1.1666666666666667,1.0,7.833333333333333,52.60438572168349,0.0
2014-05-01,0.14677763080540857,15.903899999999998,0.0,-1.0,2.0,8.333333333333334,57.003734506337004,0.0
2014-05-02,0.22384322876155907,28.872305555555556,0.0,-1.4,0.8,8.0,69.20763558856514,0.0
2014-05-03,0.2510413289318142,3.222909090909091,0.0,-0.75,1.0,7.25,4.6271333376566535,0.0
