time,activity,appCat.builtin,call,circumplex.arousal,circumplex.valence,mood,screen,sms
2014-03-14,0.09943171639528278,3.321333333333333,1.0,-0.4,0.75,7.4,46.0409998893738,1.0
2014-03-15,0.09943171639528278,5.081307692307691,0.0,0.4,0.8,6.4,34.71221429961066,1.0
2014-03-16,0.09943171639528278,9.766210526315788,0.0,-0.8,0.5,6.6,33.153818173842,1.0
2014-03-17,0.060714285714285755,3.9402500000000003,0.0,-0.6,0.6,7.2,79.36699994405109,0.0
2014-03-18,0.053911909926399944,5.283194444444445,1.0,0.4,0.6,6.6,29.122629660147222,1.0
2014-03-19,0.005627705627705628,6.469799999999999,0.0,0.0,0.6,6.4,8.785666704177862,0.0
2014-03-20,0.04383822653596662,12.94868,1.0,0.6666666666666666,0.3333333333333333,5.666666666666667,29.48735712255752,1.0
2014-03-21,0.06056036092198102,6.480625,1.0,1.0,1.0,6.8,25.9119090817191,0.0
2014-03-22,0.06677041257209454,7.947636363636363,1.0,0.5,0.75,6.5,231.15819997787474,1.0
2014-03-23,0.0684523809523809,7.888454545454547,1.0,0.0,1.0,7.0,72.63540003299708,1.0
2014-03-24,0.10731287707390641,6.160416666666667,0.0,0.0,0.8,6.4,30.601266686121644,0.0
2014-03-25,0.08716623124390796,5.667565217391304,0.0,0.6,0.6,6.0,40.53755999565124,1.0
2014-03-26,0.09062499999999996,5.007999999999999,0.0,0.2,0.25,5.6,315.73912501335155,1.0
2014-03-27,0.2950993676603433,7.743444444444443,1.0,0.0,0.25,6.0,265.66833333174446,1.0
2014-03-28,0.08746898327453531,5.6976666666666675,0.0,-0.75,0.75,6.5,25.95669999122619,0.0
2014-03-29,0.2525042601225439,4.16484375,1.0,-0.5,0.5,6.0,22.784444438086616,1.0
2014-03-30,0.052733447325923805,6.291571428571428,1.0,0.4,1.0,5.4,53.91100004315374,0.0
2014-03-31,0.13474030795602568,2.4698,1.0,-0.25,0.3333333333333333,6.0,12.299499988555924,1.0
2014-04-01,0.3134394341290891,5.776352941176471,0.0,-0.4,0.6,5.8,147.35539999008205,1.0
2014-04-02,0.030474211305752518,3.3075555555555556,1.0,-0.2,1.0,6.4,960.5031111240392,0.0
2014-04-03,0.012361111111111111,3.730545454545455,0.0,-0.5,0.3333333333333333,6.25,34.704750001430526,0.0
2014-04-04,0.14407060344630326,8.480962499999997,1.0,-0.2,0.8,6.2,123.48600000739103,1.0
2014-04-05,0.08748917748917752,7.0721428571428575,1.0,0.0,1.0,7.0,18.39681818268515,0.0
2014-04-06,0.19987749808992267,10.322268292682928,0.0,-0.6666666666666666,1.0,6.75,66.91016665101047,0.0
2014-04-07,0.0864168979340117,5.692307692307692,0.0,-0.2,1.0,7.0,138.37543751299359,1.0
2014-04-09,0.24015661939870084,5.606833333333333,1.0,-0.5,1.0,7.2,638.3243999958044,0.0
2014-04-10,0.1293886382716278,4.903843750000001,1.0,0.2,1.0,6.6,64.1009411952075,1.0
2014-04-11,0.03957364341085266,4.759047619047618,0.0,1.0,1.0,7.0,22.43018747866152,0.0
2014-04-13,0.045454545454545504,3.792466666666667,1.0,0.0,0.5,6.4,9.360083341598514,1.0
2014-04-14,0.0341435185185185,6.878439999999999,1.0,0.8,1.0,7.0,12.652312517166132,0.0
2014-04-15,0.05,30.471500000000002,1.0,0.6,0.5,6.6,4.1340000629425,1.0
2014-04-16,0.137976645191724,9.182870967741932,1.0,1.25,1.0,7.25,37.12773688215959,1.0
2014-04-17,0.14644478187042836,8.069799999999997,1.0,-0.6,1.0,7.0,40.518999988382504,0.0
2014-04-18,0.009735044072393464,7.2127647058823525,0.0,0.0,1.0,6.8,70.97366663614913,1.0
2014-04-21,0.009197324414715692,13.470111111111112,0.0,1.0,1.0,7.25,46.203562483191476,0.0
2014-04-22,0.05494394283401094,4.201499999999999,0.0,0.8,0.8,6.6,32.45682139056067,1.0
2014-04-23,0.08201415701415696,8.106153846153846,1.0,0.75,1.0,7.25,54.114374995231636,1.0
2014-04-24,0.013731060606060611,7.0905000000000005,1.0,-0.2,-0.2,5.4,237.9420000076294,1.0
2014-04-25,0.08522727272727262,6.534142857142858,1.0,0.6,1.0,7.2,15.167954531582943,1.0
2014-04-26,0.3549107142857143,0.914,0.0,0.5,1.0,6.75,55.5429999828339,1.0
2014-04-27,0.12176700111482719,4.749941176470589,1.0,-0.2,1.0,7.2,22.389166633288074,0.0
2014-04-28,0.18809523809523804,3.5921428571428575,1.0,1.0,1.0,8.0,52.3462500572204,1.0
2014-04-29,0.03592650103519668,8.810377358490566,1.0,-0.5,1.0,7.0,37.80908824415767,1.0
2014-04-30,0.03966646529954715,3.2221249999999997,1.0,0.4,1.0,7.0,147.35080008506782,0.0
2014-05-01,0.1044532627865961,7.592999999999999,1.0,0.0,1.0,7.0,31.393750011920897,1.0
2014-05-02,0.10067570888004324,5.1079375,1.0,2.0,1.0,8.0,42.24827276576651,0.0
2014-05-04,0.09635942760942762,18.79607894736841,0.0,0.0,1.0,7.0,38.44927778508924,0.0
2014-05-05,0.012931034482758626,4.6171,0.0,1.5,1.0,7.333333333333333,316.97199988365156,0.0
