time,activity,appCat.builtin,call,circumplex.arousal,circumplex.valence,mood,screen,sms
2014-04-02,0.15358132140520142,22.2425,0.0,0.25,1.5,8.5,71.78528945696985,1.0
2014-04-03,0.1886913420889081,5.783217391304347,0.0,-1.0,0.25,7.25,49.86496202855167,0.0
2014-04-04,0.015126292203892644,3.3805000000000005,1.0,-1.25,0.75,8.0,84.40587231453429,0.0
2014-04-05,0.14988214995833685,6.604521739130436,0.0,0.8,0.8,8.2,56.248578514934586,1.0
2014-04-06,0.11463534506164204,20.16116666666667,0.0,0.0,0.8,7.75,140.1750441123457,1.0
2014-04-07,0.19540927482103945,13.331950000000003,0.0,-0.6,0.2,7.2,78.26521678737826,0.0
2014-04-08,0.13756706347311956,22.013327272727267,0.0,-0.8,1.0,7.8,83.55788764257109,1.0
2014-04-09,0.06840374522127911,21.35045454545454,0.0,0.4,0.4,7.6,81.41124638612722,0.0
2014-04-10,0.1676437975828992,13.930733333333334,1.0,0.4,1.4,8.6,88.07856623523203,1.0
2014-04-11,0.01897823474799861,5.219799999999999,0.0,0.2,0.6,7.2,95.65461111068731,0.0
2014-04-12,0.11546995747559542,6.919333333333333,0.0,1.0,0.75,8.25,42.99451611503476,1.0
2014-04-13,0.07499411788569071,31.845583333333337,0.0,0.0,0.6,8.2,126.99459089203312,0.0
2014-04-14,0.14115802099173555,24.78185714285714,0.0,-0.8,1.0,8.0,84.33124732458464,0.0
2014-04-15,0.19738316762908892,10.916300000000001,0.0,-0.5,1.0,8.25,67.19628464392503,1.0
2014-04-16,0.031889568580213065,9.898882352941179,1.0,0.0,1.0,7.8,97.6370819611627,1.0
2014-04-17,0.10466354394673522,8.683695652173915,1.0,0.8,0.8,7.6,56.98217117249429,1.0
2014-04-18,0.1547806052191322,14.355054054054056,1.0,-0.25,0.25,8.0,100.05823333793212,1.0
2014-04-19,0.07083333333333326,12.845464285714288,1.0,-0.6,0.2,7.0,108.78313042806542,1.0
2014-04-20,0.008417145593869736,7.131100000000001,0.0,-0.5,0.75,7.5,90.72679412364965,0.0
2014-04-21,0.11076388888888887,2.835416666666666,0.0,0.0,0.4,7.2,87.13997675097268,0.0
2014-04-22,0.16646602328706817,26.889903225806453,1.0,-0.2,0.0,6.4,79.43436195806493,1.0
2014-04-23,0.09481132256815115,7.292119999999996,1.0,0.6,0.6,7.6,90.39834587376816,1.0
2014-04-24,0.18661315132741277,8.187882352941177,0.0,0.2,1.0,7.8,52.75003298167347,1.0
2014-04-25,0.16510803391777293,35.31712499999999,0.0,0.0,0.75,7.5,46.66445239101139,1.0
2014-04-26,0.269335092679129,15.159027027027028,1.0,0.0,0.0,6.0,62.75046708198366,1.0
2014-04-27,0.044895598261322965,35.25229729729729,0.0,-0.75,0.0,6.5,112.35539682706194,0.0
2014-04-28,0.07879215708108615,15.54266666666666,0.0,-0.4,0.4,7.0,82.37212089129856,0.0
2014-04-29,0.2085233883666979,21.98340229885057,0.0,0.4,0.8,7.6,67.31516947854037,1.0
2014-04-30,0.09121493415357158,34.317812499999995,1.0,-0.4,0.2,7.8,110.67148192819343,1.0
2014-05-01,0.13183429371661343,7.994547619047618,0.0,0.0,0.4,7.6,56.056073383453786,0.0
2014-05-03,0.291548117478645,24.213487804878046,0.0,1.0,1.0,8.0,38.16872917612394,1.0
2014-05-04,0.3729824077846088,14.659960000000002,1.0,-1.0,1.0,8.0,37.92546988108072,1.0
2014-05-05,0.21394117129591342,10.463241379310341,1.0,-0.3333333333333333,0.6666666666666666,7.333333333333333,48.16207826241203,1.0
2014-05-07,0.03446853502981983,2.6816666666666666,0.0,-0.2,0.8,7.8,62.81793182546441,0.0
2014-05-08,0.11769330217468053,4.231595238095238,1.0,0.4,1.0,7.8,76.72463639117471,1.0
2014-05-09,0.05826990937637067,18.462304347826088,1.0,-0.4,0.6,7.4,165.27772001902272,0.0
2014-05-10,0.12233941652660994,6.847470588235293,1.0,-0.2,0.4,7.0,107.53046308267835,1.0
2014-05-11,0.015175118928836292,6.848624999999999,0.0,-0.8,0.4,7.0,152.6242711907726,0.0
2014-05-12,0.14951704294124674,10.734944444444443,0.0,-0.2,0.8,7.6,80.28253529632792,1.0
2014-05-13,0.11524752444837592,6.278449999999998,1.0,0.6,0.8,8.2,103.02302362224249,1.0
2014-05-14,0.125,14.439734680669583,0.0,0.2,0.4,7.6,3.718000054359435,0.0
